land_parcel,action1,action2,action3,available_area
SD5547-1063,CMOR1,UPL1,UPL8,129.1442
SD6352-1073,CMOR1,UPL2,UPL10,13.7223
SD5551-1107,CMOR1,UPL3,UPL8,21.5106
SD8566-1235,CMOR1,UPL1,UPL10,67.6582
SD5852-1436,CMOR1,UPL1,UPL8,177.2191
SD6856-1598,CMOR1,UPL2,UPL10,0.0249
SD6765-1649,CMOR1,UPL3,UPL8,11.1877
SD6151-1717,CMOR1,UPL1,UPL10,0.1312
SD7159-1853,CMOR1,UPL1,UPL8,4.9564
SD5961-1926,CMOR1,UPL2,UPL10,53.0955
SD8365-2069,CMOR1,UPL3,UPL8,5.1313
SD5946-2122,CMOR1,UPL1,UPL8,2.1405
SD8465-2158,CMOR1,UPL2,UPL10,44.3828
SD8765-2268,CMOR1,UPL3,UPL8,41.783
SD7367-2353,CMOR1,UPL1,UPL10,13.5028
SD5148-2484,CMOR1,UPL1,UPL8,6.4189
SD8563-2535,CMOR1,UPL2,UPL10,22.6584
SD8764-2653,CMOR1,UPL3,UPL8,57.9543
SD7047-2682,CMOR1,UPL1,UPL10,2.6337
SD7347-2774,CMOR1,UPL1,UPL8,1.1121
SD6955-2837,CMOR1,UPL2,UPL10,6.1639
SD7662-2903,CMOR1,UPL3,UPL8,85.5645
SD5549-2976,CMOR1,UPL1,UPL8,214.8845
SD6747-3065,CMOR1,UPL2,UPL10,47.249
SD7448-3150,CMOR1,UPL3,UPL8,14.883
SD8364-3270,CMOR1,UPL1,UPL10,11.7183
SD8761-3294,CMOR1,UPL1,UPL8,19.9885
SD7653-3351,CMOR1,UPL2,UPL10,16.7509
SD6955-3445,CMOR1,UPL3,UPL8,5.1376
SD8459-3498,CMOR1,UPL1,UPL10,10.9341
SD7658-3586,CMOR1,UPL1,UPL8,46.352
SD8562-3593,CMOR1,UPL2,UPL10,14.5182
SD8243-3633,CMOR1,UPL3,UPL8,10.8987
SD5349-3815,CMOR1,UPL1,UPL8,6.3614
SD5458-3919,CMOR1,UPL2,UPL10,149.1983
SD7659-3975,CMOR1,UPL3,UPL8,6.3436
SD6363-4060,CMOR1,UPL1,UPL10,3.2507
SD8462-4128,CMOR1,UPL1,UPL8,12.6178
SD5847-4149,CMOR1,UPL2,UPL10,22.7874
SD6162-4265,CMOR1,UPL3,UPL8,14.0793
